Tweet,Location,User Id,Compound,Negative,Neutral,Positive
"+Jerry Law The thing about those convenience stores in Japan is that they are open 24/7. Otherwise, it won't mean much to forward the packages there.", ,Fanta711,0,0,100,0
"+HB45175 Wait, what? If the postal service closed all its offices, how do you send stuff?", ,Fanta711,0,0,100,0
Here in Sweden the postal service closed all their offices and regardless of what you order it'll be sent to a pickup location (which is usually a grocery store or a petrol station). DHL/Schenker etc and whatnot use the same system., ,HB45175,0,0,100,0
Like Parcel Motel in Ireland. Very useful indeed., ,jix177,0.6901,0,51.3,48.7
Very cool, ,turbominivan60,0.3804,0,27.8,72.2
nice, ,MrEdsster,0.4215,0,0,100
+Marcin Stelmaszczuk Im actually wondering if Amazon violated the patents of the InPost., ,WindRider,-0.4019,21.1,68.3,10.6
"Hermes have lockers too, not tried them, but they're there!", ,CheshireTomcat68,0,0,100,0
You Rock!!, ,KillerOfDolts,0,0,100,0
nice salad in ur tooth foker, ,Griven,0.4215,0,64.1,35.9
2:16, ,Griven,0,0,100,0
Nice video. What kind of video camera do you use?!!! \U0001f603, ,15Th15f0rR34l,0.5684,0,73.1,26.9
"I have just ordered something and if I didn't use the locker, the delivery to my house would be roughly \xa36 and it was coming on the day I was going on holiday! It is now scheduled to be in the locker tomorrow and the price was less than \xa32 so it made sense to do.", ,Han,0.4574,0,94.6,5.4
How long do they give you to pick up your package?, ,southbound1969,0,0,100,0
"Kind of like Epcot , you feel like you are flying , ps so glad you are back , hope you had a wonderful time.                       K", ,Keith,0.9378,0,50.8,49.2
"Hey BTB,  I was just looking for a villa in Tuscany  Italy.\nwhen a realized how much I truly love your drone footage\nPLEASE !  Do more , I grow up in a working class railroad town,\nyou could run track , play foot ball ,or wrestling  or you  just  didn't exist ! \nI wanted to learn ballot ,so i might as i might feel  as  i was fling thru the air  just like like a drone ,\n  but my father would have kicked my ass!!!!!!!!!!!!!!\nI left town , I'm brilliant in math ,economics as well a designer and builder homes\nHe has passed now , I think he is proud of me just the way.  I'm am ,and loves me just the same !", ,Keith,0.9798,0,76.9,23.1
"i love using Amazon Lockers. i stay in an apartment complex and dont know the neighbors at all so leaving my packages at my door is too risky. I have a AL 11 mins away from me so its no biggie to drive there. If you ordering from Amazon and in fear of ""Porch Pirates"", please use the lockers. The one thing Amazon can do is make bigger lockers for bigger items though", ,iBeGaming2,0.4804,9.3,76.2,14.5
Please Amazon! Add a Locker to Eden NC some time in the future., ,SakuraandSesshomaru,0.5093,0,70,30
Makes me feel like im on a mini side mission in gta 5 :), ,Xiuhcoatl,0.6705,0,64.5,35.5
Too large means mostly useless to me., ,Slappysan,-0.4215,31.8,68.2,0
I can NOW order a Fleshlight LOL, ,wingzerox100,0.5473,0,53.1,46.9
"Then you trip and fall, the a hot milf picks it up for you, and sees the label. :P", ,Xiuhcoatl,0.4084,0,86.2,13.8
Like you never made a mistake in your life - no need to come off arrogant by calling him names, ,skyline,-0.2177,22.6,58.5,19
I found a locker on my block in San Jose no issues. Had to order an different brand item at mostly the same price because the delivery would not be fulfilled by amazon., ,vaporizethis,-0.6939,20.6,74.7,4.7
"I was thinking about this for the East Village and found this. Very relevant video, thanks. I won't even bother trying it.", ,negakurai,0.6369,0,77.6,22.4
Lol, ,urb8t,0.4215,0,0,100
"Well, I do care.  That's quite an achievement and you should be really, really proud! No, really!", ,daluke61,0.7791,11.3,49.4,39.3
"I found out about them while walking through the mall a few weeks ago, and in a few days I\u2019ll pick up my first delivery. I\u2019m pretty excited about it.", ,sweetcanada17,0.6808,0,81.7,18.3
How does it work when you have to return something? Does Amazon send you a return label that you have to print out yourself? Or how does that part of a return work?, ,sweetcanada17,0.3049,0,93.1,6.9
Im a huge fan of Amazon Prime, ,RTV,0.6486,0,32.3,67.7
"I'd like throw Jeff Bezos and his arrogant, pompous execs inside their locker. Right, I don't like him.  I don't like liars and I don't like hypocrites.", ,VIDEOHEREBOB,0.8213,9.4,53,37.6
he is still the richest man in the world so on behalf of him fuck you and you don't matter, ,MultiTHEJOKER,-0.0449,18.3,68.1,13.6
Matthew K. Davis Stores should deploy security to stand next to them., ,quarlic,0.34,0,82.1,17.9
